generation,duration,idle_time,connectedness_penalty,crew_cost,pareto_rank,crowding_distance,overall_pareto_rank,zones,crews
2,165.14,69.83999999999997,0,18.0,1,0.3172941075495437,12,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 5.0, ""Doors"": 1.0, ""Interior Finishes"": 2.0}"
2,182.39000000000001,99.59000000000003,0,14.0,1,0.2787630754349759,13,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440369"": 9, ""1440382"": 10, ""1440383"": 10, ""1440368"": 11, ""1440403"": 12, ""1440404"": 12, ""1440406"": 12, ""1440384"": 13, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 4.0, ""MEP"": 5.0, ""Ceiling"": 2, ""Doors"": 1, ""Interior Finishes"": 2.0}"
2,505.20000000000005,665.4,0,6.0,1,0.2710321517750218,14,"{""1440389"": 1, ""1773274"": 2, ""1773440"": 3, ""1440369"": 4, ""1440371"": 4, ""1773278"": 5, ""1440368"": 6, ""1773270"": 7, ""1440405"": 8, ""1773267"": 9, ""1440380"": 10, ""1440381"": 10, ""1440383"": 11, ""1440382"": 20, ""1440403"": 12, ""1440404"": 12, ""1440406"": 12, ""1440388"": 13, ""1440384"": 14, ""1440385"": 14, ""1440401"": 15, ""1440402"": 15, ""1440376"": 16, ""1440400"": 17, ""1440399"": 18, ""1773269"": 19, ""1440396"": 21, ""1440397"": 21, ""1440372"": 22, ""1440394"": 23, ""1440395"": 23, ""1440398"": 23}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 2.0, ""Interior Finishes"": 1}"
2,102.56,177.1333333333333,0,23.0,1,0.26200126208955915,15,"{""1440383"": 1, ""1440376"": 2, ""1440389"": 3, ""1773274"": 4, ""1440380"": 5, ""1440371"": 6, ""1440388"": 7, ""1440368"": 8, ""1440372"": 9, ""1773269"": 10, ""1440369"": 11, ""1773278"": 12, ""1773267"": 13, ""1440381"": 14, ""1440384"": 15, ""1440385"": 15, ""1440382"": 16, ""1440402"": 17, ""1773270"": 18, ""1440400"": 19, ""1440401"": 19, ""1440394"": 20, ""1440397"": 21, ""1440403"": 22, ""1440404"": 22, ""1773440"": 23, ""1440399"": 24, ""1440395"": 25, ""1440405"": 26, ""1440406"": 27, ""1440396"": 28, ""1440398"": 29}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 3.0, ""Doors"": 5.0, ""Interior Finishes"": 5.0}"
2,205.04000000000002,122.49000000000002,0,13.0,1,0.2572798657332799,16,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
2,159.20600000000002,163.89600000000002,0,16.0,1,0.25724649181959974,17,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1773267"": 7, ""1440380"": 7, ""1440381"": 7, ""1440369"": 3, ""1440382"": 8, ""1440383"": 8, ""1440368"": 9, ""1440403"": 10, ""1440404"": 10, ""1440406"": 10, ""1440384"": 11, ""1440385"": 12, ""1440388"": 12, ""1440401"": 13, ""1440402"": 13, ""1440376"": 14, ""1440400"": 15, ""1440399"": 15, ""1773269"": 16, ""1440396"": 17, ""1440397"": 17, ""1440372"": 18, ""1440394"": 19, ""1440395"": 19, ""1440398"": 19}","{""Interior Walls"": 5.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 5.0}"
2,509.16,799.86,0,5.0,1,0.19979278182166527,18,"{""1440376"": 25, ""1773270"": 1, ""1440389"": 22, ""1440401"": 10, ""1773274"": 8, ""1440394"": 23, ""1440380"": 24, ""1440371"": 9, ""1440388"": 32, ""1440397"": 16, ""1440368"": 14, ""1440404"": 4, ""1440383"": 29, ""1773440"": 17, ""1440372"": 27, ""1440399"": 13, ""1773269"": 19, ""1440369"": 12, ""1773278"": 6, ""1773267"": 21, ""1440381"": 26, ""1440395"": 20, ""1440385"": 31, ""1440405"": 2, ""1440402"": 7, ""1440406"": 3, ""1440396"": 18, ""1440382"": 28, ""1440398"": 15, ""1440400"": 11, ""1440384"": 30, ""1440403"": 5}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
2,482.82,824.52,0,6.0,1,0.19581841786845666,19,"{""1440394"": 1, ""1440395"": 1, ""1440398"": 1, ""1440372"": 2, ""1440396"": 3, ""1440397"": 3, ""1773269"": 4, ""1440400"": 5, ""1440399"": 5, ""1440376"": 6, ""1440401"": 7, ""1440402"": 7, ""1440384"": 8, ""1440385"": 8, ""1440388"": 8, ""1440403"": 9, ""1440404"": 9, ""1440406"": 9, ""1440382"": 10, ""1440383"": 10, ""1440369"": 11, ""1773267"": 12, ""1440380"": 12, ""1440381"": 12, ""1440368"": 13, ""1773278"": 13, ""1440405"": 14, ""1773270"": 14, ""1440371"": 15, ""1773440"": 16, ""1773274"": 17, ""1440389"": 18}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 2.0, ""Interior Finishes"": 1}"
2,102.70400000000001,129.344,0,25.0,1,0.13217720284134815,20,"{""1440376"": 20, ""1773270"": 7, ""1440389"": 1, ""1440401"": 21, ""1773274"": 2, ""1440394"": 29, ""1440380"": 6, ""1440371"": 5, ""1440388"": 19, ""1440397"": 25, ""1440368"": 14, ""1440404"": 16, ""1440383"": 15, ""1773440"": 4, ""1440372"": 26, ""1440399"": 22, ""1773269"": 23, ""1440369"": 11, ""1773278"": 3, ""1773267"": 9, ""1440381"": 8, ""1440395"": 28, ""1440385"": 17, ""1440405"": 10, ""1440402"": 18, ""1440406"": 13, ""1440396"": 27, ""1440382"": 12, ""1440398"": 24, ""1440403"": 16, ""1440400"": 21, ""1440384"": 17}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 5.0, ""Doors"": 5.0, ""Interior Finishes"": 5.0}"
3,98.16399999999997,164.20399999999995,0,25.0,1,inf,1,"{""1440376"": 6, ""1773270"": 12, ""1440389"": 17, ""1440401"": 7, ""1773274"": 16, ""1440394"": 1, ""1440380"": 11, ""1440371"": 13, ""1440388"": 8, ""1440397"": 3, ""1440368"": 14, ""1440404"": 9, ""1440383"": 10, ""1773440"": 15, ""1440372"": 2, ""1440399"": 5, ""1773269"": 4, ""1440405"": 12, ""1440402"": 7, ""1440406"": 9, ""1440385"": 8, ""1440396"": 3, ""1440395"": 1, ""1440381"": 11, ""1440369"": 13, ""1440400"": 5, ""1440382"": 10, ""1773278"": 14, ""1440398"": 1, ""1773267"": 11, ""1440403"": 9, ""1440384"": 8}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 5.0, ""Doors"": 5.0, ""Interior Finishes"": 5.0}"
3,494.92,859.12,0,5.0,1,inf,2,"{""1440376"": 4, ""1773270"": 16, ""1440389"": 12, ""1440401"": 10, ""1773274"": 17, ""1440394"": 3, ""1440380"": 9, ""1440371"": 13, ""1440388"": 2, ""1440397"": 5, ""1440368"": 14, ""1440404"": 15, ""1440383"": 7, ""1773440"": 11, ""1440372"": 1, ""1440399"": 8, ""1773269"": 6, ""1440405"": 16, ""1440402"": 10, ""1440406"": 15, ""1440385"": 2, ""1440396"": 5, ""1440395"": 3, ""1440381"": 9, ""1440369"": 13, ""1440400"": 8, ""1440382"": 7, ""1773278"": 14, ""1440398"": 3, ""1773267"": 9, ""1440403"": 15, ""1440384"": 2}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
3,510.52000000000004,637.22,0,5.0,1,inf,3,"{""1440389"": 1, ""1773274"": 3, ""1773278"": 4, ""1773440"": 5, ""1440371"": 6, ""1773270"": 7, ""1773267"": 8, ""1440380"": 9, ""1440381"": 9, ""1440369"": 10, ""1440382"": 11, ""1440405"": 12, ""1440368"": 13, ""1440383"": 14, ""1440403"": 15, ""1440404"": 15, ""1440406"": 15, ""1440384"": 16, ""1440385"": 16, ""1440402"": 17, ""1440388"": 18, ""1440376"": 19, ""1440401"": 20, ""1440400"": 21, ""1440399"": 22, ""1773269"": 23, ""1440372"": 2, ""1440396"": 24, ""1440397"": 24, ""1440394"": 25, ""1440395"": 25, ""1440398"": 25}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
3,621.5000000000001,624.7,4,6.0,1,inf,4,"{""1440376"": 1, ""1440384"": 2, ""1440385"": 2, ""1440388"": 2, ""1440389"": 2, ""1773267"": 2, ""1773269"": 2, ""1773274"": 2, ""1773278"": 2, ""1440368"": 2, ""1440369"": 2, ""1440371"": 2, ""1440372"": 1, ""1440380"": 2, ""1440381"": 2, ""1440382"": 2, ""1440383"": 2, ""1440401"": 3, ""1773440"": 4, ""1440394"": 4, ""1440395"": 4, ""1440396"": 4, ""1440397"": 4, ""1440398"": 4, ""1440399"": 4, ""1440400"": 4, ""1440402"": 4, ""1440403"": 4, ""1440404"": 4, ""1440405"": 4, ""1440406"": 4, ""1773270"": 4}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 1}"
3,170.48999999999998,61.214999999999996,0,17.0,1,inf,5,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 4.0, ""Ceiling"": 5.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
3,570.9,0.0,1,10.0,1,inf,6,"{""1440384"": 1, ""1440385"": 1, ""1440388"": 1, ""1440389"": 1, ""1773267"": 1, ""1773269"": 1, ""1773274"": 1, ""1773278"": 1, ""1440368"": 1, ""1440369"": 1, ""1440371"": 1, ""1440372"": 1, ""1440376"": 1, ""1440380"": 1, ""1440381"": 1, ""1440382"": 1, ""1440383"": 1, ""1773440"": 1, ""1440394"": 1, ""1440395"": 1, ""1440396"": 1, ""1440397"": 1, ""1440398"": 1, ""1440399"": 1, ""1440400"": 1, ""1440401"": 1, ""1440402"": 1, ""1440403"": 1, ""1440404"": 1, ""1440405"": 1, ""1440406"": 1, ""1773270"": 1}","{""Interior Walls"": 2.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
3,429.4,20.0,1,10.0,1,1.0252650968299364,7,"{""1440376"": 1, ""1773270"": 2, ""1440405"": 2, ""1440406"": 2, ""1440399"": 2, ""1440402"": 2, ""1440396"": 2, ""1440403"": 2, ""1440400"": 2, ""1440368"": 1, ""1440395"": 2, ""1440397"": 2, ""1440398"": 2, ""1440383"": 1, ""1440401"": 2, ""1440382"": 1, ""1440404"": 2, ""1440394"": 2, ""1440385"": 1, ""1440384"": 1, ""1440372"": 1, ""1440381"": 1, ""1440371"": 1, ""1440380"": 1, ""1773267"": 1, ""1773269"": 1, ""1773274"": 1, ""1773278"": 1, ""1440388"": 1, ""1440369"": 1, ""1440389"": 1, ""1773440"": 2}","{""Interior Walls"": 2.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
3,313.0799999999999,403.03,0,9.0,1,0.5130211013450672,8,"{""1440394"": 1, ""1440395"": 2, ""1440396"": 2, ""1440372"": 3, ""1440397"": 4, ""1440398"": 4, ""1773269"": 5, ""1440399"": 6, ""1440400"": 7, ""1440401"": 7, ""1440376"": 18, ""1440388"": 8, ""1440402"": 9, ""1440384"": 10, ""1440385"": 10, ""1440403"": 11, ""1440404"": 11, ""1440383"": 12, ""1440368"": 13, ""1440406"": 14, ""1440381"": 15, ""1440382"": 15, ""1440369"": 16, ""1440405"": 17, ""1773267"": 18, ""1773270"": 19, ""1440380"": 20, ""1440371"": 21, ""1773440"": 22, ""1773278"": 23, ""1773274"": 24, ""1440389"": 25}","{""Interior Walls"": 2.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 1}"
3,340.5799999999999,532.28,0,8.0,1,0.35545908296620277,9,"{""1440394"": 1, ""1440395"": 2, ""1440396"": 2, ""1440372"": 3, ""1440397"": 4, ""1440398"": 4, ""1773269"": 5, ""1440399"": 6, ""1440400"": 7, ""1440401"": 7, ""1440388"": 8, ""1440402"": 9, ""1440384"": 10, ""1440385"": 10, ""1440403"": 11, ""1440404"": 11, ""1440383"": 23, ""1440368"": 13, ""1440406"": 14, ""1440381"": 15, ""1440382"": 15, ""1440369"": 16, ""1440405"": 17, ""1440376"": 18, ""1773267"": 18, ""1773270"": 19, ""1440380"": 20, ""1440371"": 21, ""1773440"": 22, ""1773278"": 12, ""1773274"": 24, ""1440389"": 25}","{""Interior Walls"": 2.0, ""MEP"": 1, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 1}"
3,219.9766666666667,274.0766666666667,0,11.0,1,0.30763140911899645,10,"{""1773269"": 1, ""1440389"": 2, ""1773274"": 3, ""1773278"": 4, ""1440371"": 5, ""1440380"": 6, ""1440381"": 6, ""1440382"": 6, ""1773267"": 7, ""1440369"": 8, ""1440368"": 9, ""1440384"": 10, ""1440383"": 10, ""1440385"": 11, ""1440388"": 11, ""1440376"": 12, ""1440372"": 13, ""1440405"": 14, ""1773270"": 14, ""1773440"": 15, ""1440403"": 16, ""1440404"": 16, ""1440406"": 16, ""1440401"": 17, ""1440402"": 17, ""1440400"": 18, ""1440399"": 18, ""1440396"": 19, ""1440397"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 3.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
3,116.164,144.13733333333332,0,19.0,1,0.2764276491808121,11,"{""1440383"": 1, ""1440376"": 2, ""1440389"": 3, ""1773274"": 4, ""1440380"": 5, ""1440371"": 6, ""1440388"": 7, ""1440368"": 8, ""1440372"": 9, ""1773269"": 10, ""1440369"": 11, ""1773278"": 12, ""1773267"": 13, ""1440381"": 14, ""1440384"": 15, ""1440385"": 15, ""1440382"": 16, ""1440402"": 17, ""1773270"": 18, ""1440400"": 19, ""1440401"": 19, ""1440394"": 20, ""1440397"": 21, ""1440403"": 22, ""1440404"": 22, ""1773440"": 23, ""1440399"": 24, ""1440395"": 25, ""1440405"": 26, ""1440406"": 27, ""1440396"": 28, ""1440398"": 29}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 3.0, ""Doors"": 1, ""Interior Finishes"": 5.0}"
3,268.54,214.99,0,11.0,1,0.2698690526528967,12,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 8, ""1440382"": 8, ""1773267"": 7, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 2.0, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 2.0}"
3,402.22,261.9200000000001,0,7.0,1,0.2681961221723993,13,"{""1440389"": 1, ""1773274"": 2, ""1773440"": 3, ""1440369"": 4, ""1440371"": 4, ""1440368"": 5, ""1773278"": 5, ""1440405"": 6, ""1773270"": 6, ""1773267"": 7, ""1440380"": 7, ""1440381"": 7, ""1440382"": 8, ""1440383"": 8, ""1440403"": 9, ""1440404"": 9, ""1440406"": 9, ""1440384"": 10, ""1440385"": 10, ""1440388"": 10, ""1440401"": 11, ""1440402"": 11, ""1440376"": 13, ""1440400"": 12, ""1440399"": 12, ""1773269"": 14, ""1440396"": 15, ""1440397"": 15, ""1440372"": 16, ""1440394"": 17, ""1440395"": 17, ""1440398"": 17}","{""Interior Walls"": 2.0, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 2.0, ""Interior Finishes"": 1}"
3,159.20600000000002,163.89600000000002,0,16.0,1,0.2668459293575779,14,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1773267"": 7, ""1440380"": 7, ""1440381"": 7, ""1440369"": 3, ""1440382"": 8, ""1440383"": 8, ""1440368"": 9, ""1440403"": 10, ""1440404"": 10, ""1440406"": 10, ""1440384"": 11, ""1440385"": 12, ""1440388"": 12, ""1440401"": 13, ""1440402"": 13, ""1440376"": 14, ""1440400"": 15, ""1440399"": 15, ""1773269"": 16, ""1440396"": 17, ""1440397"": 17, ""1440372"": 18, ""1440394"": 19, ""1440395"": 19, ""1440398"": 19}","{""Interior Walls"": 5.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 5.0}"
3,505.20000000000005,665.4,0,6.0,1,0.26652004405218527,15,"{""1440389"": 1, ""1773274"": 2, ""1773440"": 3, ""1440369"": 4, ""1440371"": 4, ""1773278"": 5, ""1440368"": 6, ""1773270"": 7, ""1440405"": 8, ""1773267"": 9, ""1440380"": 10, ""1440381"": 10, ""1440383"": 11, ""1440382"": 20, ""1440403"": 12, ""1440404"": 12, ""1440406"": 12, ""1440388"": 13, ""1440384"": 14, ""1440385"": 14, ""1440401"": 15, ""1440402"": 15, ""1440376"": 16, ""1440400"": 17, ""1440399"": 18, ""1773269"": 19, ""1440396"": 21, ""1440397"": 21, ""1440372"": 22, ""1440394"": 23, ""1440395"": 23, ""1440398"": 23}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 2.0, ""Interior Finishes"": 1}"
3,182.39000000000001,99.59000000000003,0,14.0,1,0.2561831261017953,16,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440369"": 9, ""1440382"": 10, ""1440383"": 10, ""1440368"": 11, ""1440403"": 12, ""1440404"": 12, ""1440406"": 12, ""1440384"": 13, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 4.0, ""MEP"": 5.0, ""Ceiling"": 2, ""Doors"": 1, ""Interior Finishes"": 2.0}"
3,114.08933333333334,104.296,0,21.0,1,0.2394930717831973,17,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1773270"": 6, ""1440405"": 7, ""1440382"": 8, ""1440380"": 9, ""1440381"": 10, ""1773267"": 11, ""1440369"": 12, ""1440368"": 13, ""1440403"": 14, ""1440404"": 14, ""1440406"": 15, ""1440383"": 16, ""1440384"": 17, ""1440385"": 17, ""1440388"": 18, ""1440402"": 19, ""1440400"": 20, ""1440401"": 20, ""1440376"": 21, ""1440399"": 22, ""1773269"": 23, ""1440397"": 24, ""1440396"": 25, ""1440372"": 26, ""1440395"": 27, ""1440394"": 28, ""1440398"": 29}","{""Interior Walls"": 5.0, ""MEP"": 3.0, ""Ceiling"": 3.0, ""Doors"": 5.0, ""Interior Finishes"": 5.0}"
3,205.04000000000002,122.49000000000002,0,13.0,1,0.23718352120281436,18,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
3,352.22999999999996,252.68,0,8.0,1,0.20307864588486496,19,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 2.0, ""MEP"": 2.0, ""Ceiling"": 1.0, ""Doors"": 2.0, ""Interior Finishes"": 1}"
3,509.16,799.86,0,5.0,1,0.19537832916021816,20,"{""1440376"": 25, ""1773270"": 1, ""1440389"": 22, ""1440401"": 10, ""1773274"": 8, ""1440394"": 23, ""1440380"": 24, ""1440371"": 9, ""1440388"": 32, ""1440397"": 16, ""1440368"": 14, ""1440404"": 4, ""1440383"": 29, ""1773440"": 17, ""1440372"": 27, ""1440399"": 13, ""1773269"": 19, ""1440369"": 12, ""1773278"": 6, ""1773267"": 21, ""1440381"": 26, ""1440395"": 20, ""1440385"": 31, ""1440405"": 2, ""1440402"": 7, ""1440406"": 3, ""1440396"": 18, ""1440382"": 28, ""1440398"": 15, ""1440400"": 11, ""1440384"": 30, ""1440403"": 5}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
4,98.16399999999997,164.20399999999995,0,25.0,1,inf,1,"{""1440376"": 6, ""1773270"": 12, ""1440389"": 17, ""1440401"": 7, ""1773274"": 16, ""1440394"": 1, ""1440380"": 11, ""1440371"": 13, ""1440388"": 8, ""1440397"": 3, ""1440368"": 14, ""1440404"": 9, ""1440383"": 10, ""1773440"": 15, ""1440372"": 2, ""1440399"": 5, ""1773269"": 4, ""1440405"": 12, ""1440402"": 7, ""1440406"": 9, ""1440385"": 8, ""1440396"": 3, ""1440395"": 1, ""1440381"": 11, ""1440369"": 13, ""1440400"": 5, ""1440382"": 10, ""1773278"": 14, ""1440398"": 1, ""1773267"": 11, ""1440403"": 9, ""1440384"": 8}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 5.0, ""Doors"": 5.0, ""Interior Finishes"": 5.0}"
4,494.92,859.12,0,5.0,1,inf,2,"{""1440376"": 4, ""1773270"": 16, ""1440389"": 12, ""1440401"": 10, ""1773274"": 17, ""1440394"": 3, ""1440380"": 9, ""1440371"": 13, ""1440388"": 2, ""1440397"": 5, ""1440368"": 14, ""1440404"": 15, ""1440383"": 7, ""1773440"": 11, ""1440372"": 1, ""1440399"": 8, ""1773269"": 6, ""1440405"": 16, ""1440402"": 10, ""1440406"": 15, ""1440385"": 2, ""1440396"": 5, ""1440395"": 3, ""1440381"": 9, ""1440369"": 13, ""1440400"": 8, ""1440382"": 7, ""1773278"": 14, ""1440398"": 3, ""1773267"": 9, ""1440403"": 15, ""1440384"": 2}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
4,510.52000000000004,637.22,0,5.0,1,inf,3,"{""1440389"": 1, ""1773274"": 3, ""1773278"": 4, ""1773440"": 5, ""1440371"": 6, ""1773270"": 7, ""1773267"": 8, ""1440380"": 9, ""1440381"": 9, ""1440369"": 10, ""1440382"": 11, ""1440405"": 12, ""1440368"": 13, ""1440383"": 14, ""1440403"": 15, ""1440404"": 15, ""1440406"": 15, ""1440384"": 16, ""1440385"": 16, ""1440402"": 17, ""1440388"": 18, ""1440376"": 19, ""1440401"": 20, ""1440400"": 21, ""1440399"": 22, ""1773269"": 23, ""1440372"": 2, ""1440396"": 24, ""1440397"": 24, ""1440394"": 25, ""1440395"": 25, ""1440398"": 25}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
4,170.48999999999998,61.214999999999996,0,17.0,1,inf,4,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 4.0, ""Ceiling"": 5.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
